employee_id,name,role,record_date,complication_rate,readmission_rate,follow_up_adherence,patient_outcomes_score
EID008,Gina Moore,Physician,2024-11-13,0.95,1.03,85.32,54.03
EID008,Gina Moore,Physician,2024-11-14,8.48,1.5,77.44,96.07
EID008,Gina Moore,Physician,2024-11-15,9.42,0.69,83.88,75.42
EID008,Gina Moore,Physician,2024-11-16,4.74,4.61,71.33,55.59
EID008,Gina Moore,Physician,2024-11-17,0.51,7.78,90.78,65.4
EID008,Gina Moore,Physician,2024-11-18,5.89,1.91,97.39,68.52
EID008,Gina Moore,Physician,2024-11-19,3.9,1.94,80.74,66.23
EID008,Gina Moore,Physician,2024-11-20,0.21,0.89,73.97,95.27
EID008,Gina Moore,Physician,2024-11-21,2.8,2.89,71.61,59.93
EID008,Gina Moore,Physician,2024-11-22,1.46,4.89,83.13,84.13
EID008,Gina Moore,Physician,2024-11-23,9.26,0.88,91.13,71.17
EID008,Gina Moore,Physician,2024-11-24,9.86,3.57,72.33,54.41
EID008,Gina Moore,Physician,2024-11-25,0.46,5.77,87.72,91.98
EID008,Gina Moore,Physician,2024-11-26,2.03,4.22,83.48,92.82
EID008,Gina Moore,Physician,2024-11-27,1.44,2.0,99.79,53.38
EID008,Gina Moore,Physician,2024-11-28,1.34,1.58,73.4,87.2
EID008,Gina Moore,Physician,2024-11-29,2.68,1.97,90.54,66.35
EID008,Gina Moore,Physician,2024-11-30,6.99,1.49,94.33,57.14
EID008,Gina Moore,Physician,2024-12-01,9.07,2.84,83.8,65.53
EID008,Gina Moore,Physician,2024-12-02,5.43,7.72,77.2,50.96
EID008,Gina Moore,Physician,2024-12-03,9.66,3.76,97.85,82.29
EID008,Gina Moore,Physician,2024-12-04,8.6,2.45,78.66,56.79
EID008,Gina Moore,Physician,2024-12-05,6.55,0.13,75.42,59.46
EID008,Gina Moore,Physician,2024-12-06,7.01,1.44,90.65,79.72
EID008,Gina Moore,Physician,2024-12-07,2.15,6.68,75.9,67.74
EID008,Gina Moore,Physician,2024-12-08,5.78,3.41,96.6,88.62
EID008,Gina Moore,Physician,2024-12-09,9.94,1.46,80.94,77.58
EID008,Gina Moore,Physician,2024-12-10,3.01,1.67,72.68,71.96
EID008,Gina Moore,Physician,2024-12-11,9.56,4.34,98.0,51.73
EID008,Gina Moore,Physician,2024-12-12,0.98,5.88,77.26,59.65
EID008,Gina Moore,Physician,2024-12-13,0.59,1.17,81.03,62.36
EID008,Gina Moore,Physician,2024-12-14,3.01,2.44,97.16,51.87
EID008,Gina Moore,Physician,2024-12-15,3.85,7.17,86.23,77.25
EID008,Gina Moore,Physician,2024-12-16,0.29,6.09,88.59,78.46
EID008,Gina Moore,Physician,2024-12-17,1.6,6.34,72.94,60.01
EID008,Gina Moore,Physician,2024-12-18,0.24,2.02,79.98,66.22
EID008,Gina Moore,Physician,2024-12-19,7.75,7.28,82.26,51.96
EID008,Gina Moore,Physician,2024-12-20,0.16,1.73,72.81,87.93
EID008,Gina Moore,Physician,2024-12-21,4.4,6.28,99.88,76.35
EID008,Gina Moore,Physician,2024-12-22,7.86,3.79,78.32,76.49
EID008,Gina Moore,Physician,2024-12-23,2.66,1.2,76.58,93.98
EID008,Gina Moore,Physician,2024-12-24,1.26,2.99,80.89,89.78
EID008,Gina Moore,Physician,2024-12-25,3.52,5.83,78.39,75.81
EID008,Gina Moore,Physician,2024-12-26,9.5,0.72,72.32,50.3
EID008,Gina Moore,Physician,2024-12-27,9.48,3.54,75.96,90.4
EID008,Gina Moore,Physician,2024-12-28,3.26,1.67,89.8,96.28
EID008,Gina Moore,Physician,2024-12-29,1.92,2.25,85.24,71.27
EID008,Gina Moore,Physician,2024-12-30,6.03,0.32,81.41,53.94
EID008,Gina Moore,Physician,2024-12-31,7.8,4.18,90.61,65.87
EID009,Gabrielle Davis,Physician,2024-10-01,8.52,2.54,96.23,68.19
EID009,Gabrielle Davis,Physician,2024-10-02,8.36,0.4,85.08,67.55
EID009,Gabrielle Davis,Physician,2024-10-03,9.67,2.49,72.08,64.31
EID009,Gabrielle Davis,Physician,2024-10-04,2.2,7.39,94.94,75.11
EID009,Gabrielle Davis,Physician,2024-10-05,9.74,0.65,89.71,71.57
EID009,Gabrielle Davis,Physician,2024-10-06,8.41,0.69,93.27,68.12
EID009,Gabrielle Davis,Physician,2024-10-07,4.9,3.13,81.01,52.05
EID009,Gabrielle Davis,Physician,2024-10-08,1.94,3.54,90.98,51.78
EID009,Gabrielle Davis,Physician,2024-10-09,5.51,7.13,81.58,78.12
EID009,Gabrielle Davis,Physician,2024-10-10,4.27,6.8,91.97,83.75
EID009,Gabrielle Davis,Physician,2024-10-11,3.45,0.59,70.47,82.44
EID009,Gabrielle Davis,Physician,2024-10-12,6.12,6.01,76.56,69.28
EID009,Gabrielle Davis,Physician,2024-10-13,9.84,1.46,99.79,86.9
EID009,Gabrielle Davis,Physician,2024-10-14,5.53,3.02,92.38,69.96
EID009,Gabrielle Davis,Physician,2024-10-15,9.7,5.99,78.18,59.07
EID009,Gabrielle Davis,Physician,2024-10-16,7.83,1.76,80.64,96.92
EID009,Gabrielle Davis,Physician,2024-10-17,5.25,0.19,94.11,56.56
EID009,Gabrielle Davis,Physician,2024-10-18,8.4,3.01,92.9,88.92
EID009,Gabrielle Davis,Physician,2024-10-19,8.84,6.84,81.4,74.6
EID009,Gabrielle Davis,Physician,2024-10-20,0.38,6.52,99.81,91.28
EID009,Gabrielle Davis,Physician,2024-10-21,5.86,6.58,90.07,91.87
EID009,Gabrielle Davis,Physician,2024-10-22,6.7,0.0,98.61,75.73
EID009,Gabrielle Davis,Physician,2024-10-23,3.44,1.63,87.44,68.18
EID009,Gabrielle Davis,Physician,2024-10-24,1.3,4.09,73.79,94.85
EID009,Gabrielle Davis,Physician,2024-10-25,2.73,5.73,87.58,69.96
EID009,Gabrielle Davis,Physician,2024-10-26,6.81,5.42,88.16,71.14
EID009,Gabrielle Davis,Physician,2024-10-27,6.54,2.72,86.1,88.92
EID009,Gabrielle Davis,Physician,2024-10-28,0.6,3.1,78.61,76.61
EID009,Gabrielle Davis,Physician,2024-10-29,0.31,1.16,94.42,57.74
EID009,Gabrielle Davis,Physician,2024-10-30,8.92,7.18,73.7,74.01
EID009,Gabrielle Davis,Physician,2024-10-31,5.31,4.34,99.17,86.93
EID009,Gabrielle Davis,Physician,2024-11-01,7.62,6.15,95.28,53.78
EID009,Gabrielle Davis,Physician,2024-11-02,6.17,3.91,90.39,64.38
EID009,Gabrielle Davis,Physician,2024-11-03,9.95,6.27,90.68,97.14
EID009,Gabrielle Davis,Physician,2024-11-04,4.16,7.56,85.97,87.47
EID009,Gabrielle Davis,Physician,2024-11-05,2.04,7.18,93.79,82.29
EID009,Gabrielle Davis,Physician,2024-11-06,4.51,2.68,89.57,90.33
EID009,Gabrielle Davis,Physician,2024-11-07,6.28,4.79,80.69,66.49
EID009,Gabrielle Davis,Physician,2024-11-08,4.0,7.6,91.9,86.47
EID009,Gabrielle Davis,Physician,2024-11-09,2.53,0.67,89.82,65.54
EID009,Gabrielle Davis,Physician,2024-11-10,7.28,1.6,93.99,61.99
EID009,Gabrielle Davis,Physician,2024-11-11,2.44,4.97,95.31,71.99
EID009,Gabrielle Davis,Physician,2024-11-12,0.44,3.26,79.02,93.24
EID009,Gabrielle Davis,Physician,2024-11-13,5.44,6.06,82.27,67.76
EID009,Gabrielle Davis,Physician,2024-11-14,2.3,4.24,88.43,74.16
EID009,Gabrielle Davis,Physician,2024-11-15,8.65,1.44,81.59,80.61
EID009,Gabrielle Davis,Physician,2024-11-16,9.26,3.95,99.59,80.23
EID009,Gabrielle Davis,Physician,2024-11-17,2.11,6.07,76.73,51.33
EID009,Gabrielle Davis,Physician,2024-11-18,6.7,7.89,85.33,69.15
EID009,Gabrielle Davis,Physician,2024-11-19,0.79,2.67,79.57,67.86
EID009,Gabrielle Davis,Physician,2024-11-20,7.86,4.16,98.33,87.09
EID009,Gabrielle Davis,Physician,2024-11-21,4.7,2.44,90.69,95.12
EID009,Gabrielle Davis,Physician,2024-11-22,1.4,4.27,81.07,73.38
EID009,Gabrielle Davis,Physician,2024-11-23,9.25,7.13,73.79,95.22
EID009,Gabrielle Davis,Physician,2024-11-24,7.53,7.68,86.89,89.28
EID009,Gabrielle Davis,Physician,2024-11-25,0.35,4.02,77.51,92.5
EID009,Gabrielle Davis,Physician,2024-11-26,5.33,3.86,90.79,73.18
EID009,Gabrielle Davis,Physician,2024-11-27,2.37,2.37,89.19,62.12
EID009,Gabrielle Davis,Physician,2024-11-28,7.66,4.61,86.85,54.76
EID009,Gabrielle Davis,Physician,2024-11-29,6.4,0.85,98.75,59.87
EID009,Gabrielle Davis,Physician,2024-11-30,2.72,2.43,92.21,80.86
EID009,Gabrielle Davis,Physician,2024-12-01,2.52,5.17,94.83,93.14
EID009,Gabrielle Davis,Physician,2024-12-02,7.71,6.69,99.94,59.58
EID009,Gabrielle Davis,Physician,2024-12-03,9.69,3.0,75.19,78.61
EID009,Gabrielle Davis,Physician,2024-12-04,4.8,6.5,73.55,88.19
EID009,Gabrielle Davis,Physician,2024-12-05,0.9,0.88,80.58,98.08
EID009,Gabrielle Davis,Physician,2024-12-06,4.97,1.12,97.81,54.36
EID009,Gabrielle Davis,Physician,2024-12-07,6.63,2.12,91.42,76.95
EID009,Gabrielle Davis,Physician,2024-12-08,6.18,1.16,84.73,82.77
EID009,Gabrielle Davis,Physician,2024-12-09,9.14,2.07,88.67,94.04
EID009,Gabrielle Davis,Physician,2024-12-10,6.22,1.26,71.62,76.14
EID009,Gabrielle Davis,Physician,2024-12-11,2.62,1.0,79.42,70.77
EID009,Gabrielle Davis,Physician,2024-12-12,2.47,5.2,95.33,73.52
EID009,Gabrielle Davis,Physician,2024-12-13,5.58,7.11,87.56,74.88
EID009,Gabrielle Davis,Physician,2024-12-14,4.77,3.74,74.46,71.59
EID009,Gabrielle Davis,Physician,2024-12-15,6.37,3.04,81.08,97.32
EID009,Gabrielle Davis,Physician,2024-12-16,9.18,0.72,81.19,95.28
EID009,Gabrielle Davis,Physician,2024-12-17,9.75,4.8,98.16,89.34
EID009,Gabrielle Davis,Physician,2024-12-18,5.53,7.58,86.55,63.18
EID009,Gabrielle Davis,Physician,2024-12-19,6.14,3.36,95.68,93.13
EID009,Gabrielle Davis,Physician,2024-12-20,2.69,5.61,92.83,60.45
EID009,Gabrielle Davis,Physician,2024-12-21,2.2,5.73,74.9,80.56
EID009,Gabrielle Davis,Physician,2024-12-22,4.73,4.27,91.67,96.93
EID009,Gabrielle Davis,Physician,2024-12-23,6.94,2.79,91.94,92.14
EID009,Gabrielle Davis,Physician,2024-12-24,5.37,7.47,85.47,67.32
EID009,Gabrielle Davis,Physician,2024-12-25,0.71,1.05,86.66,69.67
EID009,Gabrielle Davis,Physician,2024-12-26,9.6,2.8,89.48,51.59
EID009,Gabrielle Davis,Physician,2024-12-27,5.46,4.88,99.04,65.49
EID009,Gabrielle Davis,Physician,2024-12-28,9.27,5.7,70.87,98.1
EID009,Gabrielle Davis,Physician,2024-12-29,3.89,4.82,87.87,91.34
EID009,Gabrielle Davis,Physician,2024-12-30,0.34,0.71,83.27,53.65
EID009,Gabrielle Davis,Physician,2024-12-31,5.27,7.16,91.75,59.8
EID010,Ryan Munoz,Physician,2024-10-01,6.93,6.3,90.34,95.4
EID010,Ryan Munoz,Physician,2024-10-02,4.62,6.41,77.01,98.86
EID010,Ryan Munoz,Physician,2024-10-03,3.5,4.05,87.24,73.2
EID010,Ryan Munoz,Physician,2024-10-04,2.53,0.53,88.18,67.41
EID010,Ryan Munoz,Physician,2024-10-05,5.17,0.24,97.31,96.69
EID010,Ryan Munoz,Physician,2024-10-06,6.02,2.71,93.67,50.72
EID010,Ryan Munoz,Physician,2024-10-07,6.33,5.04,91.8,98.59
EID010,Ryan Munoz,Physician,2024-10-08,7.34,4.95,96.07,71.98
EID010,Ryan Munoz,Physician,2024-10-09,4.68,4.89,84.33,69.25
EID010,Ryan Munoz,Physician,2024-10-10,3.79,5.75,71.21,97.9
EID010,Ryan Munoz,Physician,2024-10-11,7.25,7.8,79.21,64.23
EID010,Ryan Munoz,Physician,2024-10-12,3.81,5.53,71.36,72.91
EID010,Ryan Munoz,Physician,2024-10-13,1.01,5.17,96.74,75.38
EID010,Ryan Munoz,Physician,2024-10-14,4.18,2.12,91.22,86.72
EID010,Ryan Munoz,Physician,2024-10-15,8.27,5.34,98.28,98.19
EID010,Ryan Munoz,Physician,2024-10-16,8.84,2.1,98.39,68.64
EID010,Ryan Munoz,Physician,2024-10-17,9.57,2.84,87.28,96.39
EID010,Ryan Munoz,Physician,2024-10-18,0.61,1.37,92.72,87.01
EID010,Ryan Munoz,Physician,2024-10-19,6.05,7.66,99.16,98.97
EID010,Ryan Munoz,Physician,2024-10-20,2.36,5.07,74.65,83.3
EID010,Ryan Munoz,Physician,2024-10-21,8.73,4.22,86.7,71.68
EID010,Ryan Munoz,Physician,2024-10-22,4.11,2.2,86.31,78.69
EID010,Ryan Munoz,Physician,2024-10-23,9.87,3.44,79.76,78.39
EID010,Ryan Munoz,Physician,2024-10-24,2.63,3.61,96.11,73.22
EID010,Ryan Munoz,Physician,2024-10-25,2.76,1.14,96.41,56.69
EID010,Ryan Munoz,Physician,2024-10-26,3.59,5.51,91.84,52.73
EID010,Ryan Munoz,Physician,2024-10-27,4.72,4.83,98.19,90.74
EID010,Ryan Munoz,Physician,2024-10-28,2.34,5.34,88.75,56.48
EID010,Ryan Munoz,Physician,2024-10-29,5.82,6.25,89.98,92.43
EID010,Ryan Munoz,Physician,2024-10-30,2.52,2.86,76.42,84.83
EID010,Ryan Munoz,Physician,2024-10-31,0.17,4.66,93.52,82.64
EID010,Ryan Munoz,Physician,2024-11-01,4.31,0.4,93.89,82.03
EID010,Ryan Munoz,Physician,2024-11-02,7.46,5.96,72.78,65.48
EID010,Ryan Munoz,Physician,2024-11-03,4.91,5.77,96.34,57.77
EID010,Ryan Munoz,Physician,2024-11-04,1.41,2.85,73.72,62.21
EID010,Ryan Munoz,Physician,2024-11-05,8.51,0.82,99.77,83.6
EID010,Ryan Munoz,Physician,2024-11-06,8.59,1.98,82.68,91.57
EID010,Ryan Munoz,Physician,2024-11-07,1.7,6.34,82.07,88.44
EID010,Ryan Munoz,Physician,2024-11-08,0.09,4.47,70.77,92.84
EID010,Ryan Munoz,Physician,2024-11-09,5.36,5.98,84.03,53.74
EID010,Ryan Munoz,Physician,2024-11-10,4.76,0.02,86.38,83.87
EID010,Ryan Munoz,Physician,2024-11-11,0.92,3.49,98.23,61.48
EID010,Ryan Munoz,Physician,2024-11-12,0.66,1.77,91.48,83.45
EID010,Ryan Munoz,Physician,2024-11-13,8.73,4.34,84.19,68.17
EID010,Ryan Munoz,Physician,2024-11-14,8.02,7.31,73.95,92.56
EID010,Ryan Munoz,Physician,2024-11-15,7.41,7.91,88.65,66.87
EID010,Ryan Munoz,Physician,2024-11-16,6.85,4.11,83.48,62.79
EID010,Ryan Munoz,Physician,2024-11-17,7.38,0.45,78.79,96.91
EID010,Ryan Munoz,Physician,2024-11-18,9.91,5.84,87.05,95.07
EID010,Ryan Munoz,Physician,2024-11-19,1.46,1.07,78.72,65.07
EID010,Ryan Munoz,Physician,2024-11-20,5.43,6.81,74.98,53.19
EID010,Ryan Munoz,Physician,2024-11-21,5.95,1.48,73.82,73.99
EID010,Ryan Munoz,Physician,2024-11-22,4.68,6.57,74.14,84.51
EID010,Ryan Munoz,Physician,2024-11-23,5.04,4.33,85.05,61.14
EID010,Ryan Munoz,Physician,2024-11-24,4.69,5.8,88.81,82.4
EID010,Ryan Munoz,Physician,2024-11-25,3.44,3.17,83.94,85.2
EID010,Ryan Munoz,Physician,2024-11-26,7.04,7.2,86.43,55.34
EID010,Ryan Munoz,Physician,2024-11-27,9.3,0.25,97.29,95.83
EID010,Ryan Munoz,Physician,2024-11-28,9.8,6.72,92.18,69.71
EID010,Ryan Munoz,Physician,2024-11-29,8.84,6.65,94.85,98.15
EID010,Ryan Munoz,Physician,2024-11-30,2.14,5.57,96.1,69.0
EID010,Ryan Munoz,Physician,2024-12-01,2.89,5.15,89.09,99.84
EID010,Ryan Munoz,Physician,2024-12-02,2.58,5.83,72.13,92.09
EID010,Ryan Munoz,Physician,2024-12-03,8.26,0.99,85.97,87.9
EID010,Ryan Munoz,Physician,2024-12-04,4.39,1.26,78.21,84.81
EID010,Ryan Munoz,Physician,2024-12-05,1.14,5.61,92.82,85.0
EID010,Ryan Munoz,Physician,2024-12-06,2.64,7.01,86.69,74.16
EID010,Ryan Munoz,Physician,2024-12-07,1.52,1.46,74.24,55.36
EID010,Ryan Munoz,Physician,2024-12-08,4.67,4.12,82.28,93.57
EID010,Ryan Munoz,Physician,2024-12-09,7.38,3.7,87.66,90.82
EID010,Ryan Munoz,Physician,2024-12-10,9.01,2.52,78.77,69.71
EID010,Ryan Munoz,Physician,2024-12-11,6.23,2.07,94.94,74.35
EID010,Ryan Munoz,Physician,2024-12-12,8.74,6.54,85.4,73.22
EID010,Ryan Munoz,Physician,2024-12-13,5.57,0.61,73.52,76.14
EID010,Ryan Munoz,Physician,2024-12-14,1.26,5.62,92.38,58.41
EID010,Ryan Munoz,Physician,2024-12-15,1.63,5.36,97.24,53.11
EID010,Ryan Munoz,Physician,2024-12-16,1.58,2.5,92.11,93.19
EID010,Ryan Munoz,Physician,2024-12-17,0.11,4.94,97.63,91.92
EID010,Ryan Munoz,Physician,2024-12-18,9.67,2.92,98.75,96.44
EID010,Ryan Munoz,Physician,2024-12-19,3.54,2.77,91.1,83.72
EID010,Ryan Munoz,Physician,2024-12-20,6.47,7.06,85.2,79.54
EID010,Ryan Munoz,Physician,2024-12-21,2.49,2.64,84.25,77.85
EID010,Ryan Munoz,Physician,2024-12-22,7.2,5.44,92.46,81.42
EID010,Ryan Munoz,Physician,2024-12-23,9.92,7.78,93.97,50.42
EID010,Ryan Munoz,Physician,2024-12-24,7.21,0.93,89.2,91.69
EID010,Ryan Munoz,Physician,2024-12-25,3.34,2.7,72.14,56.8
EID010,Ryan Munoz,Physician,2024-12-26,1.44,6.54,90.55,68.64
EID010,Ryan Munoz,Physician,2024-12-27,8.47,2.45,78.45,80.83
EID010,Ryan Munoz,Physician,2024-12-28,5.02,6.81,85.46,62.44
EID010,Ryan Munoz,Physician,2024-12-29,0.85,3.07,99.11,72.84
EID010,Ryan Munoz,Physician,2024-12-30,8.92,7.39,78.34,79.05
EID010,Ryan Munoz,Physician,2024-12-31,0.23,3.06,77.24,98.83
EID011,Monica Herrera,Physician,2024-10-01,3.15,2.26,94.18,66.89
EID011,Monica Herrera,Physician,2024-10-02,6.05,2.36,80.44,52.86
EID011,Monica Herrera,Physician,2024-10-03,8.81,7.39,71.7,78.62
EID011,Monica Herrera,Physician,2024-10-04,4.57,4.33,81.13,70.51
EID011,Monica Herrera,Physician,2024-10-05,8.8,5.44,97.87,77.91
EID011,Monica Herrera,Physician,2024-10-06,0.54,5.18,92.85,68.23
EID011,Monica Herrera,Physician,2024-10-07,1.95,1.6,94.54,56.95
EID011,Monica Herrera,Physician,2024-10-08,1.42,3.86,76.55,71.09
EID011,Monica Herrera,Physician,2024-10-09,2.26,5.49,95.77,84.16
EID011,Monica Herrera,Physician,2024-10-10,0.66,7.9,94.62,58.9
EID011,Monica Herrera,Physician,2024-10-11,1.99,2.21,72.48,88.97
EID011,Monica Herrera,Physician,2024-10-12,8.16,4.23,81.75,83.68
EID011,Monica Herrera,Physician,2024-10-13,7.25,5.64,73.98,98.23
EID011,Monica Herrera,Physician,2024-10-14,7.33,0.03,71.82,52.58
EID011,Monica Herrera,Physician,2024-10-15,6.83,0.63,73.2,53.43
EID011,Monica Herrera,Physician,2024-10-16,2.39,4.21,83.91,65.84
EID011,Monica Herrera,Physician,2024-10-17,6.07,2.95,82.45,80.85
EID011,Monica Herrera,Physician,2024-10-18,4.74,5.29,85.78,59.84
EID011,Monica Herrera,Physician,2024-10-19,4.04,2.14,75.16,84.25
EID011,Monica Herrera,Physician,2024-10-20,8.47,4.57,76.87,98.65
EID011,Monica Herrera,Physician,2024-10-21,8.4,5.32,81.19,88.93
EID011,Monica Herrera,Physician,2024-10-22,7.72,1.93,97.24,62.39
EID011,Monica Herrera,Physician,2024-10-23,0.11,4.26,84.48,71.59
EID011,Monica Herrera,Physician,2024-10-24,6.35,0.58,71.91,70.57
EID011,Monica Herrera,Physician,2024-10-25,5.62,0.61,77.7,61.09
EID011,Monica Herrera,Physician,2024-10-26,6.76,6.03,88.91,58.14
EID011,Monica Herrera,Physician,2024-10-27,5.38,3.04,74.32,58.27
EID011,Monica Herrera,Physician,2024-10-28,8.36,4.9,95.89,95.35
EID011,Monica Herrera,Physician,2024-10-29,2.92,6.06,73.68,63.86
EID011,Monica Herrera,Physician,2024-10-30,6.73,3.26,72.26,66.18
EID011,Monica Herrera,Physician,2024-10-31,7.5,4.01,88.41,94.61
EID011,Monica Herrera,Physician,2024-11-01,1.63,6.09,73.04,92.87
EID011,Monica Herrera,Physician,2024-11-02,6.89,0.82,91.94,79.16
EID011,Monica Herrera,Physician,2024-11-03,4.48,5.21,86.0,92.56
EID011,Monica Herrera,Physician,2024-11-04,7.01,5.77,99.39,76.65
EID011,Monica Herrera,Physician,2024-11-05,0.23,6.65,95.91,75.63
EID011,Monica Herrera,Physician,2024-11-06,8.28,3.39,74.58,72.98
EID011,Monica Herrera,Physician,2024-11-07,0.07,7.78,96.83,96.24
EID011,Monica Herrera,Physician,2024-11-08,4.8,1.58,84.85,64.67
EID011,Monica Herrera,Physician,2024-11-09,7.08,1.29,84.55,88.52
EID011,Monica Herrera,Physician,2024-11-10,2.64,0.76,73.46,97.71
EID011,Monica Herrera,Physician,2024-11-11,8.76,5.49,86.91,73.41
EID011,Monica Herrera,Physician,2024-11-12,4.8,0.29,97.03,69.24
EID011,Monica Herrera,Physician,2024-11-13,3.31,7.82,97.16,89.38
EID011,Monica Herrera,Physician,2024-11-14,1.84,7.25,97.06,87.69
EID011,Monica Herrera,Physician,2024-11-15,3.2,4.17,88.92,70.16
EID011,Monica Herrera,Physician,2024-11-16,7.59,5.68,89.98,90.68
EID011,Monica Herrera,Physician,2024-11-17,3.85,5.7,96.56,61.02
EID011,Monica Herrera,Physician,2024-11-18,1.83,4.9,90.23,92.2
EID011,Monica Herrera,Physician,2024-11-19,7.8,1.31,84.05,59.51
EID011,Monica Herrera,Physician,2024-11-20,2.95,7.79,79.64,95.18
EID011,Monica Herrera,Physician,2024-11-21,9.87,0.68,92.22,92.68
EID011,Monica Herrera,Physician,2024-11-22,0.25,7.88,92.63,50.51
EID011,Monica Herrera,Physician,2024-11-23,0.39,7.31,80.02,67.58
EID011,Monica Herrera,Physician,2024-11-24,6.86,0.38,81.15,96.77
EID011,Monica Herrera,Physician,2024-11-25,0.67,3.55,97.72,95.62
EID011,Monica Herrera,Physician,2024-11-26,9.45,3.66,82.05,73.18
EID011,Monica Herrera,Physician,2024-11-27,9.94,5.2,91.6,93.63
EID011,Monica Herrera,Physician,2024-11-28,6.75,4.22,96.92,60.04
EID011,Monica Herrera,Physician,2024-11-29,9.19,2.2,81.27,55.65
EID011,Monica Herrera,Physician,2024-11-30,6.88,5.77,85.5,68.38
EID011,Monica Herrera,Physician,2024-12-01,8.95,4.71,77.64,71.38
EID011,Monica Herrera,Physician,2024-12-02,0.95,1.94,93.24,92.69
EID011,Monica Herrera,Physician,2024-12-03,6.9,2.12,80.91,79.57
EID011,Monica Herrera,Physician,2024-12-04,8.17,2.81,73.46,83.76
EID011,Monica Herrera,Physician,2024-12-05,9.86,0.49,95.94,55.07
EID011,Monica Herrera,Physician,2024-12-06,4.09,0.36,79.86,78.53
EID011,Monica Herrera,Physician,2024-12-07,7.61,5.47,94.58,69.39
EID011,Monica Herrera,Physician,2024-12-08,2.24,4.97,79.41,84.12
EID011,Monica Herrera,Physician,2024-12-09,4.07,4.35,93.22,67.41
EID011,Monica Herrera,Physician,2024-12-10,4.94,5.13,77.89,94.95
EID011,Monica Herrera,Physician,2024-12-11,1.91,0.45,85.39,71.33
EID011,Monica Herrera,Physician,2024-12-12,1.24,3.27,75.29,56.27
EID011,Monica Herrera,Physician,2024-12-13,8.33,6.06,90.94,86.58
EID011,Monica Herrera,Physician,2024-12-14,1.85,0.96,70.15,89.62
