employee_id,name,role,record_date,prescription_volume,error_rate,patient_counseling_score,avg_wait_time_minutes
EID014,Michele Williams,Pharmacist,2024-11-03,181,1.93,92.86,9.46
EID014,Michele Williams,Pharmacist,2024-11-04,111,2.15,69.69,18.17
EID014,Michele Williams,Pharmacist,2024-11-05,91,3.54,82.95,17.04
EID014,Michele Williams,Pharmacist,2024-11-06,166,2.15,62.64,5.3
EID014,Michele Williams,Pharmacist,2024-11-07,105,3.5,70.94,7.11
EID014,Michele Williams,Pharmacist,2024-11-08,79,4.83,68.46,13.39
EID014,Michele Williams,Pharmacist,2024-11-09,94,2.26,77.52,4.38
EID014,Michele Williams,Pharmacist,2024-11-10,96,3.05,85.11,10.31
EID014,Michele Williams,Pharmacist,2024-11-11,141,3.96,73.43,19.9
EID014,Michele Williams,Pharmacist,2024-11-12,182,0.91,88.7,13.37
EID014,Michele Williams,Pharmacist,2024-11-13,167,4.19,71.4,5.02
EID014,Michele Williams,Pharmacist,2024-11-14,180,1.62,92.38,14.79
EID014,Michele Williams,Pharmacist,2024-11-15,122,4.34,99.33,12.95
EID014,Michele Williams,Pharmacist,2024-11-16,180,1.32,67.46,11.74
EID014,Michele Williams,Pharmacist,2024-11-17,162,3.58,64.75,12.6
EID014,Michele Williams,Pharmacist,2024-11-18,187,3.88,66.14,16.9
EID014,Michele Williams,Pharmacist,2024-11-19,187,0.77,77.5,12.44
EID014,Michele Williams,Pharmacist,2024-11-20,110,0.41,87.04,7.55
EID014,Michele Williams,Pharmacist,2024-11-21,54,1.98,62.74,12.8
EID014,Michele Williams,Pharmacist,2024-11-22,53,3.05,69.16,13.65
EID014,Michele Williams,Pharmacist,2024-11-23,163,2.92,60.46,17.49
EID014,Michele Williams,Pharmacist,2024-11-24,196,3.02,75.23,3.31
EID014,Michele Williams,Pharmacist,2024-11-25,150,3.13,83.66,13.95
EID014,Michele Williams,Pharmacist,2024-11-26,67,2.08,77.0,10.03
EID014,Michele Williams,Pharmacist,2024-11-27,92,2.45,97.29,8.43
EID014,Michele Williams,Pharmacist,2024-11-28,157,2.76,87.15,19.05
EID014,Michele Williams,Pharmacist,2024-11-29,68,2.43,91.08,2.34
EID014,Michele Williams,Pharmacist,2024-11-30,186,1.8,68.17,12.39
EID014,Michele Williams,Pharmacist,2024-12-01,121,1.59,86.06,18.55
EID014,Michele Williams,Pharmacist,2024-12-02,61,4.46,86.91,9.85
EID014,Michele Williams,Pharmacist,2024-12-03,126,1.08,78.46,7.96
EID014,Michele Williams,Pharmacist,2024-12-04,138,1.08,67.11,6.52
EID014,Michele Williams,Pharmacist,2024-12-05,125,2.09,60.32,9.56
EID014,Michele Williams,Pharmacist,2024-12-06,174,2.99,65.98,8.28
EID014,Michele Williams,Pharmacist,2024-12-07,97,4.66,75.48,4.74
EID014,Michele Williams,Pharmacist,2024-12-08,109,3.17,96.62,9.89
EID014,Michele Williams,Pharmacist,2024-12-09,84,0.33,95.69,13.87
EID014,Michele Williams,Pharmacist,2024-12-10,181,1.49,69.2,18.78
EID014,Michele Williams,Pharmacist,2024-12-11,71,0.84,71.86,4.73
EID014,Michele Williams,Pharmacist,2024-12-12,138,1.97,98.04,12.22
EID014,Michele Williams,Pharmacist,2024-12-13,54,1.28,99.76,3.51
EID014,Michele Williams,Pharmacist,2024-12-14,99,4.59,86.16,11.18
EID014,Michele Williams,Pharmacist,2024-12-15,69,1.72,78.41,8.91
EID014,Michele Williams,Pharmacist,2024-12-16,80,2.39,74.58,2.31
EID014,Michele Williams,Pharmacist,2024-12-17,50,1.46,84.74,18.16
EID014,Michele Williams,Pharmacist,2024-12-18,108,1.76,61.37,12.73
EID014,Michele Williams,Pharmacist,2024-12-19,149,3.56,66.02,3.04
EID014,Michele Williams,Pharmacist,2024-12-20,198,1.07,60.79,13.26
EID014,Michele Williams,Pharmacist,2024-12-21,126,2.18,72.89,2.21
EID014,Michele Williams,Pharmacist,2024-12-22,144,4.93,85.93,15.74
EID014,Michele Williams,Pharmacist,2024-12-23,183,4.95,62.36,7.88
EID014,Michele Williams,Pharmacist,2024-12-24,187,4.97,93.8,19.65
EID014,Michele Williams,Pharmacist,2024-12-25,88,2.77,74.18,17.27
EID014,Michele Williams,Pharmacist,2024-12-26,143,4.88,65.01,18.7
EID014,Michele Williams,Pharmacist,2024-12-27,106,4.58,87.16,10.61
EID014,Michele Williams,Pharmacist,2024-12-28,184,2.92,73.82,17.54
EID014,Michele Williams,Pharmacist,2024-12-29,154,3.95,94.47,9.0
EID014,Michele Williams,Pharmacist,2024-12-30,159,4.57,68.99,19.8
EID014,Michele Williams,Pharmacist,2024-12-31,170,2.23,97.84,10.18
EID015,Dylan Miller,Pharmacist,2024-10-01,158,2.78,60.23,10.27
EID015,Dylan Miller,Pharmacist,2024-10-02,85,3.38,91.14,18.96
EID015,Dylan Miller,Pharmacist,2024-10-03,60,0.23,79.54,8.57
EID015,Dylan Miller,Pharmacist,2024-10-04,148,0.27,92.12,8.56
EID015,Dylan Miller,Pharmacist,2024-10-05,66,2.34,78.63,10.09
EID015,Dylan Miller,Pharmacist,2024-10-06,161,2.45,71.15,4.02
EID015,Dylan Miller,Pharmacist,2024-10-07,68,1.77,77.99,9.28
EID015,Dylan Miller,Pharmacist,2024-10-08,116,3.55,66.96,7.87
EID015,Dylan Miller,Pharmacist,2024-10-09,187,0.58,64.15,4.47
EID015,Dylan Miller,Pharmacist,2024-10-10,188,0.64,64.65,16.73
EID015,Dylan Miller,Pharmacist,2024-10-11,130,4.17,71.08,9.01
EID015,Dylan Miller,Pharmacist,2024-10-12,117,4.1,75.31,8.35
EID015,Dylan Miller,Pharmacist,2024-10-13,54,2.31,91.32,7.11
EID015,Dylan Miller,Pharmacist,2024-10-14,186,2.35,71.59,14.73
EID015,Dylan Miller,Pharmacist,2024-10-15,107,1.4,62.43,3.79
EID015,Dylan Miller,Pharmacist,2024-10-16,65,1.95,75.94,13.17
EID015,Dylan Miller,Pharmacist,2024-10-17,199,3.48,74.94,16.84
EID015,Dylan Miller,Pharmacist,2024-10-18,171,3.82,65.69,18.0
EID015,Dylan Miller,Pharmacist,2024-10-19,188,1.91,97.92,5.97
EID015,Dylan Miller,Pharmacist,2024-10-20,125,4.91,90.11,12.38
EID015,Dylan Miller,Pharmacist,2024-10-21,93,2.45,76.87,3.8
EID015,Dylan Miller,Pharmacist,2024-10-22,167,0.89,79.48,3.56
EID015,Dylan Miller,Pharmacist,2024-10-23,92,1.31,79.68,19.92
EID015,Dylan Miller,Pharmacist,2024-10-24,190,0.37,98.48,16.52
EID015,Dylan Miller,Pharmacist,2024-10-25,126,3.7,74.68,17.32
EID015,Dylan Miller,Pharmacist,2024-10-26,115,2.52,70.95,11.61
EID015,Dylan Miller,Pharmacist,2024-10-27,82,0.05,76.31,4.37
EID015,Dylan Miller,Pharmacist,2024-10-28,101,0.39,80.41,14.91
EID015,Dylan Miller,Pharmacist,2024-10-29,98,2.11,65.82,4.05
EID015,Dylan Miller,Pharmacist,2024-10-30,122,2.39,99.7,10.38
EID015,Dylan Miller,Pharmacist,2024-10-31,91,3.14,61.53,5.62
EID015,Dylan Miller,Pharmacist,2024-11-01,187,3.1,71.29,13.76
EID015,Dylan Miller,Pharmacist,2024-11-02,80,0.68,90.44,12.96
EID015,Dylan Miller,Pharmacist,2024-11-03,58,3.89,62.99,3.41
EID015,Dylan Miller,Pharmacist,2024-11-04,106,4.05,74.06,19.92
EID015,Dylan Miller,Pharmacist,2024-11-05,181,4.99,98.1,15.61
EID015,Dylan Miller,Pharmacist,2024-11-06,93,0.59,63.53,4.38
EID015,Dylan Miller,Pharmacist,2024-11-07,140,4.65,85.55,4.75
EID015,Dylan Miller,Pharmacist,2024-11-08,57,4.89,86.4,16.6
EID015,Dylan Miller,Pharmacist,2024-11-09,158,2.45,73.78,14.35
EID015,Dylan Miller,Pharmacist,2024-11-10,108,0.49,66.7,2.44
EID015,Dylan Miller,Pharmacist,2024-11-11,70,2.53,78.81,14.24
EID015,Dylan Miller,Pharmacist,2024-11-12,99,2.55,80.53,5.74
EID015,Dylan Miller,Pharmacist,2024-11-13,93,1.66,68.07,10.59
EID015,Dylan Miller,Pharmacist,2024-11-14,73,4.82,94.64,9.1
EID015,Dylan Miller,Pharmacist,2024-11-15,171,1.92,73.23,16.39
EID015,Dylan Miller,Pharmacist,2024-11-16,131,0.13,71.38,12.07
EID015,Dylan Miller,Pharmacist,2024-11-17,176,4.85,89.35,2.08
EID015,Dylan Miller,Pharmacist,2024-11-18,146,3.48,79.4,17.06
EID015,Dylan Miller,Pharmacist,2024-11-19,199,1.09,64.47,18.64
EID015,Dylan Miller,Pharmacist,2024-11-20,89,0.14,95.38,18.38
EID015,Dylan Miller,Pharmacist,2024-11-21,196,0.01,98.86,10.1
EID015,Dylan Miller,Pharmacist,2024-11-22,165,0.71,71.14,12.66
EID015,Dylan Miller,Pharmacist,2024-11-23,148,2.58,71.19,16.93
EID015,Dylan Miller,Pharmacist,2024-11-24,130,4.36,95.22,2.73
EID015,Dylan Miller,Pharmacist,2024-11-25,55,1.02,99.52,8.08
EID015,Dylan Miller,Pharmacist,2024-11-26,77,2.64,75.29,16.12
EID015,Dylan Miller,Pharmacist,2024-11-27,54,3.88,98.91,14.11
EID015,Dylan Miller,Pharmacist,2024-11-28,168,4.11,94.04,13.78
EID015,Dylan Miller,Pharmacist,2024-11-29,72,0.68,79.81,13.79
EID015,Dylan Miller,Pharmacist,2024-11-30,53,0.22,98.41,9.0
EID015,Dylan Miller,Pharmacist,2024-12-01,79,0.8,69.55,7.02
EID015,Dylan Miller,Pharmacist,2024-12-02,95,3.07,87.57,12.82
EID015,Dylan Miller,Pharmacist,2024-12-03,182,1.54,90.57,13.94
EID015,Dylan Miller,Pharmacist,2024-12-04,153,0.81,60.13,14.33
EID015,Dylan Miller,Pharmacist,2024-12-05,148,0.84,67.11,3.21
EID015,Dylan Miller,Pharmacist,2024-12-06,108,3.59,93.44,10.21
EID015,Dylan Miller,Pharmacist,2024-12-07,171,2.09,85.71,5.01
EID015,Dylan Miller,Pharmacist,2024-12-08,58,0.0,67.88,14.08
EID015,Dylan Miller,Pharmacist,2024-12-09,109,3.64,98.47,11.82
EID015,Dylan Miller,Pharmacist,2024-12-10,72,4.05,71.3,6.82
EID015,Dylan Miller,Pharmacist,2024-12-11,62,1.88,64.28,9.6
EID015,Dylan Miller,Pharmacist,2024-12-12,86,4.12,71.3,6.62
EID015,Dylan Miller,Pharmacist,2024-12-13,59,3.65,89.7,8.32
EID015,Dylan Miller,Pharmacist,2024-12-14,88,2.64,67.94,9.39
EID015,Dylan Miller,Pharmacist,2024-12-15,166,4.86,89.3,4.35
EID015,Dylan Miller,Pharmacist,2024-12-16,66,0.83,68.91,7.57
EID015,Dylan Miller,Pharmacist,2024-12-17,145,1.61,92.58,8.42
EID015,Dylan Miller,Pharmacist,2024-12-18,159,0.48,65.84,9.9
EID015,Dylan Miller,Pharmacist,2024-12-19,111,2.62,61.07,14.11
EID015,Dylan Miller,Pharmacist,2024-12-20,70,3.36,61.52,12.66
EID015,Dylan Miller,Pharmacist,2024-12-21,197,1.3,60.38,14.63
EID015,Dylan Miller,Pharmacist,2024-12-22,114,0.86,77.54,10.0
EID015,Dylan Miller,Pharmacist,2024-12-23,66,0.06,80.27,11.78
EID015,Dylan Miller,Pharmacist,2024-12-24,124,0.02,77.95,19.83
EID015,Dylan Miller,Pharmacist,2024-12-25,197,2.17,77.94,13.8
EID015,Dylan Miller,Pharmacist,2024-12-26,50,2.61,97.51,14.62
EID015,Dylan Miller,Pharmacist,2024-12-27,98,4.75,74.77,6.18
EID015,Dylan Miller,Pharmacist,2024-12-28,107,3.35,76.62,2.62
EID015,Dylan Miller,Pharmacist,2024-12-29,152,3.66,80.81,2.58
EID015,Dylan Miller,Pharmacist,2024-12-30,57,3.4,82.48,4.35
EID015,Dylan Miller,Pharmacist,2024-12-31,196,1.6,74.51,11.51
EID016,Brian Ramirez,Pharmacist,2024-10-01,58,0.86,77.94,17.54
EID016,Brian Ramirez,Pharmacist,2024-10-02,171,0.17,68.36,9.88
EID016,Brian Ramirez,Pharmacist,2024-10-03,179,3.1,84.03,7.48
EID016,Brian Ramirez,Pharmacist,2024-10-04,167,1.37,99.09,4.47
EID016,Brian Ramirez,Pharmacist,2024-10-05,85,3.31,60.21,16.36
EID016,Brian Ramirez,Pharmacist,2024-10-06,176,3.02,61.43,18.3
EID016,Brian Ramirez,Pharmacist,2024-10-07,106,2.61,63.59,7.68
EID016,Brian Ramirez,Pharmacist,2024-10-08,63,1.88,99.11,19.5
EID016,Brian Ramirez,Pharmacist,2024-10-09,197,1.1,94.43,17.51
EID016,Brian Ramirez,Pharmacist,2024-10-10,175,4.09,84.23,5.21
EID016,Brian Ramirez,Pharmacist,2024-10-11,148,4.5,90.88,16.85
EID016,Brian Ramirez,Pharmacist,2024-10-12,171,3.99,79.19,19.17
EID016,Brian Ramirez,Pharmacist,2024-10-13,56,3.24,60.38,16.04
EID016,Brian Ramirez,Pharmacist,2024-10-14,54,4.5,88.27,14.38
EID016,Brian Ramirez,Pharmacist,2024-10-15,185,1.22,71.53,6.86
EID016,Brian Ramirez,Pharmacist,2024-10-16,161,0.9,75.24,7.94
EID016,Brian Ramirez,Pharmacist,2024-10-17,125,1.5,76.38,12.44
EID016,Brian Ramirez,Pharmacist,2024-10-18,132,0.13,63.35,14.28
EID016,Brian Ramirez,Pharmacist,2024-10-19,117,0.71,75.63,3.55
EID016,Brian Ramirez,Pharmacist,2024-10-20,160,3.21,71.77,9.51
EID016,Brian Ramirez,Pharmacist,2024-10-21,141,4.47,85.71,5.68
EID016,Brian Ramirez,Pharmacist,2024-10-22,186,0.77,81.3,7.9
EID016,Brian Ramirez,Pharmacist,2024-10-23,138,2.7,87.23,9.84
EID016,Brian Ramirez,Pharmacist,2024-10-24,186,3.72,83.7,8.76
EID016,Brian Ramirez,Pharmacist,2024-10-25,79,1.17,95.28,18.39
EID016,Brian Ramirez,Pharmacist,2024-10-26,52,0.64,96.03,7.44
EID016,Brian Ramirez,Pharmacist,2024-10-27,95,4.04,96.78,15.72
EID016,Brian Ramirez,Pharmacist,2024-10-28,108,2.03,61.23,5.04
EID016,Brian Ramirez,Pharmacist,2024-10-29,73,4.17,86.59,2.58
EID016,Brian Ramirez,Pharmacist,2024-10-30,52,0.84,92.91,11.24
EID016,Brian Ramirez,Pharmacist,2024-10-31,194,0.21,83.0,10.25
EID016,Brian Ramirez,Pharmacist,2024-11-01,198,4.74,65.63,4.48
EID016,Brian Ramirez,Pharmacist,2024-11-02,189,1.18,61.54,17.44
EID016,Brian Ramirez,Pharmacist,2024-11-03,190,2.08,83.12,12.76
EID016,Brian Ramirez,Pharmacist,2024-11-04,94,4.46,83.23,6.86
EID016,Brian Ramirez,Pharmacist,2024-11-05,58,0.73,71.27,2.51
EID016,Brian Ramirez,Pharmacist,2024-11-06,136,1.08,64.29,4.61
EID016,Brian Ramirez,Pharmacist,2024-11-07,142,3.42,67.39,14.67
EID016,Brian Ramirez,Pharmacist,2024-11-08,58,2.69,67.87,18.84
EID016,Brian Ramirez,Pharmacist,2024-11-09,187,0.82,79.47,2.04
EID016,Brian Ramirez,Pharmacist,2024-11-10,87,1.5,62.74,11.75
EID016,Brian Ramirez,Pharmacist,2024-11-11,185,0.41,66.8,9.92
EID016,Brian Ramirez,Pharmacist,2024-11-12,150,1.32,62.71,18.62
EID016,Brian Ramirez,Pharmacist,2024-11-13,123,2.01,72.83,15.93
EID016,Brian Ramirez,Pharmacist,2024-11-14,56,0.37,67.26,14.11
EID016,Brian Ramirez,Pharmacist,2024-11-15,64,0.65,68.98,18.84
EID016,Brian Ramirez,Pharmacist,2024-11-16,196,3.55,82.08,8.87
EID016,Brian Ramirez,Pharmacist,2024-11-17,147,3.61,62.64,17.59
EID016,Brian Ramirez,Pharmacist,2024-11-18,122,1.95,69.52,7.88
EID016,Brian Ramirez,Pharmacist,2024-11-19,78,1.57,75.02,11.98
EID016,Brian Ramirez,Pharmacist,2024-11-20,81,4.85,67.82,13.77
EID016,Brian Ramirez,Pharmacist,2024-11-21,58,1.37,87.85,10.74
EID016,Brian Ramirez,Pharmacist,2024-11-22,175,2.11,75.14,16.83
EID016,Brian Ramirez,Pharmacist,2024-11-23,77,3.83,96.4,10.93
EID016,Brian Ramirez,Pharmacist,2024-11-24,117,4.16,80.29,18.02
EID016,Brian Ramirez,Pharmacist,2024-11-25,178,0.24,70.88,14.64
EID016,Brian Ramirez,Pharmacist,2024-11-26,81,1.29,96.71,8.78
EID016,Brian Ramirez,Pharmacist,2024-11-27,91,2.11,66.53,8.06
EID016,Brian Ramirez,Pharmacist,2024-11-28,81,3.36,73.31,5.18
EID016,Brian Ramirez,Pharmacist,2024-11-29,162,0.96,83.76,6.52
EID016,Brian Ramirez,Pharmacist,2024-11-30,127,4.04,84.98,7.37
EID016,Brian Ramirez,Pharmacist,2024-12-01,191,3.92,85.01,15.63
EID016,Brian Ramirez,Pharmacist,2024-12-02,101,4.42,60.58,15.48
EID016,Brian Ramirez,Pharmacist,2024-12-03,156,4.47,92.11,14.65
EID016,Brian Ramirez,Pharmacist,2024-12-04,170,1.31,86.95,13.05
EID016,Brian Ramirez,Pharmacist,2024-12-05,91,4.68,82.79,2.65
EID016,Brian Ramirez,Pharmacist,2024-12-06,81,1.86,61.25,12.54
EID016,Brian Ramirez,Pharmacist,2024-12-07,176,4.63,95.89,9.0
EID016,Brian Ramirez,Pharmacist,2024-12-08,79,1.62,84.25,19.18
EID016,Brian Ramirez,Pharmacist,2024-12-09,149,0.7,61.08,3.17
EID016,Brian Ramirez,Pharmacist,2024-12-10,130,4.38,95.94,5.66
EID016,Brian Ramirez,Pharmacist,2024-12-11,167,3.09,97.74,8.58
EID016,Brian Ramirez,Pharmacist,2024-12-12,58,4.4,88.13,3.97
EID016,Brian Ramirez,Pharmacist,2024-12-13,67,2.14,63.1,8.77
EID016,Brian Ramirez,Pharmacist,2024-12-14,109,0.02,64.41,9.76
EID016,Brian Ramirez,Pharmacist,2024-12-15,115,1.83,80.21,10.38
EID016,Brian Ramirez,Pharmacist,2024-12-16,142,3.93,86.41,16.5
EID016,Brian Ramirez,Pharmacist,2024-12-17,62,1.22,73.01,15.62
EID016,Brian Ramirez,Pharmacist,2024-12-18,60,3.12,62.67,4.27
EID016,Brian Ramirez,Pharmacist,2024-12-19,90,3.05,80.02,2.15
EID016,Brian Ramirez,Pharmacist,2024-12-20,77,2.83,67.7,6.85
EID016,Brian Ramirez,Pharmacist,2024-12-21,126,1.53,90.32,10.85
EID016,Brian Ramirez,Pharmacist,2024-12-22,99,1.29,84.43,16.66
EID016,Brian Ramirez,Pharmacist,2024-12-23,147,3.29,67.88,12.64
EID016,Brian Ramirez,Pharmacist,2024-12-24,125,1.8,75.88,11.22
EID016,Brian Ramirez,Pharmacist,2024-12-25,135,1.82,90.61,9.28
EID016,Brian Ramirez,Pharmacist,2024-12-26,96,4.4,88.22,12.45
EID016,Brian Ramirez,Pharmacist,2024-12-27,70,3.09,99.81,15.59
EID016,Brian Ramirez,Pharmacist,2024-12-28,196,1.95,63.44,9.14
EID016,Brian Ramirez,Pharmacist,2024-12-29,120,1.62,75.42,12.35
EID016,Brian Ramirez,Pharmacist,2024-12-30,134,2.06,90.52,15.57
EID016,Brian Ramirez,Pharmacist,2024-12-31,70,0.25,92.75,9.99
EID017,Holly Wood,Pharmacist,2024-10-01,55,0.25,88.78,13.68
EID017,Holly Wood,Pharmacist,2024-10-02,159,2.33,83.29,2.95
EID017,Holly Wood,Pharmacist,2024-10-03,166,4.84,71.0,9.94
EID017,Holly Wood,Pharmacist,2024-10-04,195,2.4,76.61,5.48
EID017,Holly Wood,Pharmacist,2024-10-05,54,1.39,78.62,8.02
EID017,Holly Wood,Pharmacist,2024-10-06,91,0.68,63.28,15.17
EID017,Holly Wood,Pharmacist,2024-10-07,97,1.03,65.57,15.51
EID017,Holly Wood,Pharmacist,2024-10-08,192,4.83,73.52,5.11
EID017,Holly Wood,Pharmacist,2024-10-09,107,4.53,80.48,19.62
EID017,Holly Wood,Pharmacist,2024-10-10,197,4.87,89.92,5.02
EID017,Holly Wood,Pharmacist,2024-10-11,108,4.72,65.77,9.39
EID017,Holly Wood,Pharmacist,2024-10-12,122,3.23,67.84,9.28
EID017,Holly Wood,Pharmacist,2024-10-13,57,4.56,73.39,12.25
EID017,Holly Wood,Pharmacist,2024-10-14,77,1.7,95.37,9.89
EID017,Holly Wood,Pharmacist,2024-10-15,113,2.89,98.32,16.62
EID017,Holly Wood,Pharmacist,2024-10-16,187,1.46,63.05,7.09
EID017,Holly Wood,Pharmacist,2024-10-17,171,3.53,72.97,19.28
EID017,Holly Wood,Pharmacist,2024-10-18,139,4.7,86.26,8.57
EID017,Holly Wood,Pharmacist,2024-10-19,180,1.81,62.75,17.94
EID017,Holly Wood,Pharmacist,2024-10-20,165,4.04,62.66,13.6
EID017,Holly Wood,Pharmacist,2024-10-21,80,1.72,83.02,11.5
EID017,Holly Wood,Pharmacist,2024-10-22,125,0.11,97.66,10.16
EID017,Holly Wood,Pharmacist,2024-10-23,100,2.62,85.96,7.19
EID017,Holly Wood,Pharmacist,2024-10-24,181,3.42,71.61,15.94
EID017,Holly Wood,Pharmacist,2024-10-25,144,1.18,74.57,3.43
EID017,Holly Wood,Pharmacist,2024-10-26,68,4.59,68.36,7.42
EID017,Holly Wood,Pharmacist,2024-10-27,136,1.44,63.02,5.11
EID017,Holly Wood,Pharmacist,2024-10-28,140,4.69,97.76,19.15
EID017,Holly Wood,Pharmacist,2024-10-29,75,2.72,88.98,13.87
EID017,Holly Wood,Pharmacist,2024-10-30,95,2.68,88.15,11.04
EID017,Holly Wood,Pharmacist,2024-10-31,163,3.54,75.09,9.02
EID017,Holly Wood,Pharmacist,2024-11-01,171,4.15,64.53,19.27
EID017,Holly Wood,Pharmacist,2024-11-02,192,2.71,62.89,17.64
EID017,Holly Wood,Pharmacist,2024-11-03,146,1.59,99.5,11.41
EID017,Holly Wood,Pharmacist,2024-11-04,142,4.28,88.77,3.22
EID017,Holly Wood,Pharmacist,2024-11-05,127,4.52,78.12,6.48
EID017,Holly Wood,Pharmacist,2024-11-06,90,2.89,63.1,8.09
EID017,Holly Wood,Pharmacist,2024-11-07,193,0.7,63.28,2.87
EID017,Holly Wood,Pharmacist,2024-11-08,158,3.37,86.34,15.96
EID017,Holly Wood,Pharmacist,2024-11-09,123,0.97,88.44,11.87
EID017,Holly Wood,Pharmacist,2024-11-10,152,4.29,63.49,14.43
EID017,Holly Wood,Pharmacist,2024-11-11,139,3.62,72.41,15.24
EID017,Holly Wood,Pharmacist,2024-11-12,177,0.34,82.59,8.49
EID017,Holly Wood,Pharmacist,2024-11-13,110,2.46,77.22,10.39
EID017,Holly Wood,Pharmacist,2024-11-14,91,2.76,97.68,19.67
EID017,Holly Wood,Pharmacist,2024-11-15,107,3.19,74.28,18.59
EID017,Holly Wood,Pharmacist,2024-11-16,140,0.25,76.98,2.72
EID017,Holly Wood,Pharmacist,2024-11-17,66,4.46,71.57,8.9
EID017,Holly Wood,Pharmacist,2024-11-18,138,1.84,82.46,11.06
EID017,Holly Wood,Pharmacist,2024-11-19,189,1.81,92.43,6.98
EID017,Holly Wood,Pharmacist,2024-11-20,140,0.39,76.97,3.19
EID017,Holly Wood,Pharmacist,2024-11-21,142,2.76,99.81,4.25
EID017,Holly Wood,Pharmacist,2024-11-22,140,2.28,60.78,19.31
EID017,Holly Wood,Pharmacist,2024-11-23,187,1.65,90.02,7.24
EID017,Holly Wood,Pharmacist,2024-11-24,139,3.96,92.31,8.49
EID017,Holly Wood,Pharmacist,2024-11-25,174,1.07,95.58,6.26
EID017,Holly Wood,Pharmacist,2024-11-26,74,3.03,94.76,13.08
EID017,Holly Wood,Pharmacist,2024-11-27,77,0.16,60.31,18.97
EID017,Holly Wood,Pharmacist,2024-11-28,94,1.93,78.36,16.71
EID017,Holly Wood,Pharmacist,2024-11-29,118,4.25,96.88,5.11
EID017,Holly Wood,Pharmacist,2024-11-30,176,0.29,62.1,11.54
EID017,Holly Wood,Pharmacist,2024-12-01,174,4.13,63.64,15.15
EID017,Holly Wood,Pharmacist,2024-12-02,167,1.52,63.21,6.1
EID017,Holly Wood,Pharmacist,2024-12-03,92,2.63,75.95,3.95
EID017,Holly Wood,Pharmacist,2024-12-04,130,4.26,91.02,8.97
EID017,Holly Wood,Pharmacist,2024-12-05,61,1.18,99.31,17.88
EID017,Holly Wood,Pharmacist,2024-12-06,158,2.1,68.86,8.26
EID017,Holly Wood,Pharmacist,2024-12-07,135,1.58,64.7,15.34
EID017,Holly Wood,Pharmacist,2024-12-08,184,0.89,63.7,10.69
EID017,Holly Wood,Pharmacist,2024-12-09,136,2.69,69.22,2.24
EID017,Holly Wood,Pharmacist,2024-12-10,160,2.78,75.49,9.72
EID017,Holly Wood,Pharmacist,2024-12-11,131,1.46,96.71,18.36
EID017,Holly Wood,Pharmacist,2024-12-12,163,2.05,97.42,18.76
