lead_id,campaign_id,lead_name,company,email,phone,status
LEADce16a15b,CMP65acaae3,Alex Perez,Fletcher Ltd,samantha56@example.net,(959)431-4420x354,Contacted
LEADd465e338,CMP65acaae3,Caitlyn Martinez,"Page, Fuentes and Pollard",moorerichard@example.org,694.761.2385x692,New
LEAD58c428a3,CMP65acaae3,Samantha Barnes,Green-Glover,ortizjustin@example.com,001-563-621-3624x987,Converted
LEAD9cdc43cd,CMP65acaae3,Thomas Gordon,"Maxwell, Williams and Mendez",carol84@example.net,(965)210-2511x3469,New
LEADb446111b,CMP65acaae3,Jennifer Smith,Davis-Terry,martinross@example.org,351-575-9493x939,New
LEADb73fdecd,CMP65acaae3,Robert Robinson,Hodge-Rogers,troytaylor@example.org,+1-889-543-5541x6818,Contacted
LEADd71a3223,CMP65acaae3,Chad Lopez,Mitchell LLC,hoffmankristin@example.com,+1-595-411-6182x079,New
LEAD535d2d66,CMP65acaae3,Jennifer Harper,Mercer-Tucker,justinhorn@example.com,347.495.8342x706,Qualified
LEAD51ee9672,CMP65acaae3,Alejandro Wells,"Robles, Wood and Gordon",pwaters@example.com,408.895.1275,New
LEAD76759e46,CMP65acaae3,Robert Miller,Kennedy Inc,dramirez@example.net,686-908-4949x09242,New
LEADd65465b7,CMP65acaae3,Jon Smith,Anderson Inc,trujillorobert@example.org,(431)383-4889x8396,Converted
LEADf2f582f7,CMP65acaae3,Barbara Bishop,"Allen, Collins and Smith",fbyrd@example.com,+1-560-203-8180x255,Contacted
LEADec1b8483,CMP65acaae3,Shannon Nelson,Hernandez Inc,grimesdawn@example.net,344-569-7525,New
LEAD1278d16a,CMP65acaae3,Mark Martinez,"Rhodes, Monroe and Thomas",susan90@example.org,426.544.8302,Converted
LEADff30128a,CMP65acaae3,Allison Bridges,Simmons Ltd,woodtammy@example.org,287-722-8674,Qualified
LEADfe633e4d,CMP65acaae3,Geoffrey Kelly,"Jenkins, Clark and Solis",caroline63@example.org,(633)534-0068x7150,Converted
LEAD3b2c9598,CMP65acaae3,Danny Curtis,"Herrera, Smith and Abbott",taylorraymond@example.net,463-670-2849,Contacted
LEAD0508d076,CMP65acaae3,William Payne,Downs-Wilson,cody85@example.com,(664)446-3907x2644,Qualified
LEAD15dda5a9,CMP65acaae3,Tom Mcfarland,Hickman Inc,thomas31@example.com,+1-929-982-2550,Qualified
LEAD72785767,CMP65acaae3,Benjamin White,Sexton Group,melindajohnson@example.com,(239)481-6089,Converted
LEAD8a5e8f8e,CMP65acaae3,Elizabeth Pierce,Wilson-Aguilar,gonzalezmichael@example.org,(789)779-1855,Qualified
LEAD6c90a7c2,CMP65acaae3,Denise Richardson,"Harris, Nunez and Johnson",donna13@example.org,+1-378-974-8582x0345,Converted
LEAD5b87cc61,CMP65acaae3,Jeffrey Gordon,Jones PLC,lisaadams@example.net,488.215.1092,Converted
LEADd89abf0b,CMP65acaae3,Christian Carter,Berry PLC,harpermark@example.com,(689)482-9584x26712,Contacted
LEAD8be0e28c,CMP65acaae3,Mallory Conrad,Allen-Cole,parkerwilliam@example.org,+1-335-332-4152x991,Qualified
LEADb1adcd3e,CMP65acaae3,Traci Castro,"Lewis, Davila and Kelley",millerlaurie@example.net,785-396-9637x01107,New
LEAD60ede32b,CMP65acaae3,Ashley Norton,Thomas and Sons,amandaholland@example.com,001-513-437-3923x33231,Contacted
LEADca6870ee,CMP65acaae3,Michael Nichols,Stevens-Glenn,garyking@example.net,+1-448-343-2200x727,Converted
LEAD5d6dec9d,CMP65acaae3,Jeffrey Miller,Moore Group,marshallashley@example.net,306-350-4331x3267,New
LEAD132d1ca8,CMP65acaae3,Taylor James,"Pierce, Reid and Wilkinson",fgraham@example.net,001-323-870-1952,Converted
LEAD936dcdee,CMP65acaae3,John Huff,Mathews Inc,valeriewhite@example.net,(322)554-5634x28996,Qualified
LEADeaac3375,CMP65acaae3,Ryan Stewart,Powers Group,staceynguyen@example.net,729.238.0189x8604,New
LEADe74d0713,CMP65acaae3,Tara Wall,"Mcdaniel, Donaldson and Le",rileybishop@example.org,(345)551-5215x98360,Qualified
LEAD6a14bd5c,CMP65acaae3,Jamie Lewis,Miles-Allen,ywhite@example.net,2904172997,Contacted
LEADc928979e,CMP65acaae3,John Romero,"Fitzgerald, Bell and Chase",davisashlee@example.org,(458)483-0176x78494,Qualified
LEAD800634d2,CMP65acaae3,Amanda Hernandez,"Cowan, Phillips and Nguyen",kpatton@example.org,(461)495-8795,Qualified
LEADa53e1b05,CMP65acaae3,John Young,Neal LLC,tyronegardner@example.net,849.731.3432x80417,Contacted
LEADe77bd6ec,CMP65acaae3,Melinda Waller,Hunter Ltd,joshua46@example.org,761.523.3258x63665,Converted
LEADa78d9918,CMP65acaae3,Eileen Martin,Long and Sons,matthewmartinez@example.com,(859)236-3370,New
LEADe3bd4303,CMP65acaae3,Stanley Knox,Walton Ltd,adamsdana@example.org,001-890-347-7305x68611,Converted
LEAD6ac3d41f,CMP65acaae3,Brianna Hartman,"Robinson, Ramsey and Hanson",knightjustin@example.net,(201)263-1367,Contacted
LEAD475a82d0,CMP65acaae3,Deborah Melton,"Garcia, Herrera and Scott",nhamilton@example.net,(550)660-6889x9000,Contacted
LEADefb82687,CMP65acaae3,Christy Smith,Dunlap Ltd,ronaldmack@example.com,+1-657-669-5001,Converted
LEAD6e6c89ed,CMP65acaae3,Joseph Martin,Ross-Turner,andrew52@example.com,975-478-6275x42399,Converted
LEADa1c80471,CMP65acaae3,Sheila Hodges,Kennedy and Sons,shannonharmon@example.com,(761)480-8548,Qualified
LEAD92cd95de,CMP65acaae3,David Miller,Holland Inc,vanessa05@example.com,001-319-821-6861x6626,Converted
LEADcbfe1f68,CMP65acaae3,Jason Thomas,Reyes Group,claytonwhitaker@example.com,9767668762,Converted
LEAD1c9bc3db,CMP65acaae3,William Shelton,"Rodgers, Cardenas and Mack",reyestheresa@example.org,346.622.0231,Converted
LEADccf61b6c,CMP65acaae3,Christopher Miller,"Harris, Powell and Bennett",brookeaustin@example.org,(937)466-0426,Converted
LEAD0b61b7be,CMP65acaae3,Joseph Buchanan,Kim-Coleman,heidi48@example.com,(704)280-9843x0781,New
LEAD82a7117b,CMP65acaae3,Kelly Andrews,Young Group,victoria03@example.net,741.239.5265x14451,New
LEAD1b54392d,CMP65acaae3,Kim Delgado,Davis-Gamble,dwaters@example.org,(262)710-3668,New
LEAD7385fa3e,CMP65acaae3,Rhonda Moreno,"Cunningham, Shaw and James",nbrown@example.org,+1-769-442-6707x7108,Converted
LEADf8b6ef10,CMP65acaae3,Evelyn Boone,Anderson-Harrington,dbeard@example.com,509-287-8721x26159,Converted
LEADde19645f,CMP65acaae3,Brian Padilla,Potter-Hunter,brady86@example.com,(396)311-2595x616,New
LEADd32561a9,CMP65acaae3,Elizabeth Lamb,"Kent, Leon and Conley",robertroberts@example.org,949.780.6613x25123,Converted
LEAD3c4250ce,CMP65acaae3,Jill Chavez,Smith-Miller,elizabeth94@example.com,+1-915-933-6465x950,Converted
LEAD929a0dac,CMP65acaae3,Erica Manning,Shelton-Mccoy,sarah47@example.net,+1-479-356-1004x33982,Contacted
LEAD5a63f893,CMP65acaae3,Mr. Lawrence Kelly,Stevens-Blevins,austin00@example.net,538-882-6626x42232,Qualified
LEADf92e29ed,CMP65acaae3,Sarah Herrera,Calderon Inc,thomas43@example.org,(305)254-4105,Contacted
LEAD70e6853c,CMP65acaae3,Christine Martinez,Miller-Nelson,nicolezamora@example.org,232.570.2556x57558,Converted
LEAD8dec4cd3,CMP65acaae3,Christopher Foster,Townsend Group,steven06@example.com,306.736.6073x211,Contacted
LEAD73db5896,CMP65acaae3,Tony Miller,Collins Group,jamieperez@example.net,+1-451-649-8711x16348,Contacted
LEAD61633b71,CMP65acaae3,Daniel Simpson,"Mcconnell, Gonzales and Donovan",michaelbautista@example.com,001-313-904-2994x23540,Converted
LEAD383e8893,CMP65acaae3,Nicole Smith PhD,Walker and Sons,kellyshelia@example.org,595-218-2885,Contacted
LEAD3812e6e2,CMP65acaae3,Susan May,Evans Group,hubbardnicole@example.net,(962)413-8372x811,Qualified
LEAD85f3f0cb,CMP65acaae3,Zachary Gonzalez,Mccarthy-Walker,justin16@example.org,773.700.6199x78597,Contacted
LEAD79fdaffa,CMP65acaae3,Andrew Welch,Rivera LLC,sandraowens@example.com,(829)729-5365,New
LEADc27ca034,CMP65acaae3,Sarah Watson,Smith-Williams,lbentley@example.net,(688)823-3431x9077,New
LEAD66050c88,CMP65acaae3,Jeffrey Bell,"Williams, Baker and Aguirre",wmontgomery@example.net,+1-988-348-6931,Converted
LEAD2298bb88,CMP65acaae3,Emily Martin,Carter-Rogers,kelli33@example.net,(423)810-1911x2740,Contacted
LEADcb1273c8,CMP65acaae3,Stephen Bonilla,"Horton, Green and Zavala",oli@example.net,+1-531-391-6142x8363,New
LEAD2fec3763,CMP65acaae3,Lauren Lynch,Castro Ltd,osbornrandy@example.com,258-816-0221,New
LEAD078c9366,CMP65acaae3,Molly Henson,"Flores, Hernandez and Gonzalez",lelliott@example.com,(719)394-5021x0498,Qualified
LEAD545bf9cc,CMP65acaae3,Kimberly Allen,"Stein, Walters and Atkinson",vanessacarson@example.org,353-856-1328x8969,Converted
LEAD3972282a,CMP65acaae3,Charles White,Barnett Ltd,chudson@example.com,001-803-696-5494x87836,Contacted
LEAD9721b896,CMP65acaae3,Melissa Pearson,"Rivera, Burgess and Bowen",xhernandez@example.org,968.436.1066,Qualified
LEADb20fa138,CMP65acaae3,Jessica Rowland,"Thomas, Lopez and Cross",williamsjoseph@example.org,8406940424,New
LEAD96d477e0,CMPb0063c92,Joel Williams,"Beck, Rodriguez and Rivera",jturner@example.net,001-602-913-7324x89602,Contacted
LEAD3666cbb6,CMPb0063c92,Sarah Freeman,"Evans, Willis and Wright",melindashea@example.org,+1-475-359-8855x955,Converted
LEAD2ef80cb6,CMPb0063c92,Nicole Long,Gonzales and Sons,zreyes@example.org,001-957-809-7410,Contacted
LEAD3adf5058,CMPb0063c92,Emma Adams,Wilson-Walter,mkelly@example.com,518-780-4918x70883,New
LEADcdc0a89f,CMPb0063c92,Anthony Williams,Shaffer-Gutierrez,kevinrobinson@example.com,(373)765-1309x073,Converted
LEADeca74a3b,CMPb0063c92,Brenda King,"Grimes, Ward and Smith",stevenstevenson@example.net,+1-870-561-7915x62225,Qualified
LEAD71a03a87,CMPb0063c92,Jason Stanley,Walters Inc,maryduran@example.org,001-457-693-5042,New
LEAD60b52c36,CMPb0063c92,Christina Williams,Cabrera-Hart,silvachristopher@example.com,+1-675-294-1929,New
LEADeae32a83,CMPb0063c92,James Beck,Coleman Group,christinewilson@example.com,(788)694-2009x966,Converted
LEADa5e5a821,CMPb0063c92,Megan Alexander,"Wilson, Cruz and Gonzalez",holly09@example.com,(583)893-5286x167,Converted
LEADed29b852,CMPb0063c92,Sarah Berg,Park-Hammond,billy29@example.com,001-719-369-3265x79027,Contacted
LEAD9741e4bd,CMPb0063c92,Daniel Mendez,"Carter, Cuevas and Gentry",brittany81@example.com,588-708-6167,New
LEAD48805440,CMPb0063c92,Katie Long,"Watts, Warren and Hanson",sgonzalez@example.org,3448867566,New
LEADcf7d6cde,CMPb0063c92,John Oconnor,Smith LLC,ncharles@example.net,(515)567-8067x30288,Qualified
LEAD8d894562,CMPb0063c92,Jordan Roman II,Lee PLC,jessicabolton@example.net,985.942.1484x461,Converted
LEADe0d3e6a8,CMPb0063c92,Jenny Diaz,"Palmer, Brewer and Owen",hbishop@example.com,5487113726,Qualified
LEAD8fdde890,CMPb0063c92,Gregory Deleon,Martin-Roberts,andrewramirez@example.net,+1-720-786-6803,New
LEAD3252c3e1,CMPb0063c92,Janet Flores,Huang Ltd,tmorris@example.net,929-300-4201x69229,Contacted
LEAD3ef8ae70,CMPb0063c92,Cheryl Randall,Barber and Sons,jerrybrown@example.net,960.949.7755,Converted
LEAD20ddc871,CMPb0063c92,Elizabeth Williamson,Williams-Vega,fergusonrachel@example.org,6919757857,Converted
LEADb28524aa,CMPb0063c92,Alexis Butler,Valentine Ltd,nhanson@example.com,+1-894-437-5597,New
LEAD0f1657d9,CMPb0063c92,Kimberly Sutton,"Cortez, Russell and Brown",jonathanortiz@example.org,(693)279-8394x04665,Contacted
LEADf3bfab2e,CMPb0063c92,James Lewis,Howard and Sons,hnguyen@example.net,+1-410-346-7687,New
LEAD81062668,CMPb0063c92,Lisa Jacobs,Clark-Roman,lisa85@example.net,982.207.4353x759,Qualified
LEAD6f99c0fe,CMPb0063c92,Michelle Henry,Salazar-Keller,sberry@example.com,+1-981-618-2949,Contacted
LEAD51b25bec,CMPb0063c92,Christopher Bass,"Rivera, Robinson and Arnold",maria38@example.org,001-247-408-5228x7336,New
LEAD3aca1f86,CMPb0063c92,William Wilson,"Ramirez, Johnson and Smith",jeffreybrown@example.com,376.908.1959x32931,Converted
LEAD4fcfd62d,CMPb0063c92,Amanda Curtis,Rojas-Moore,jacobbarber@example.net,387-807-8684x6394,Contacted
LEADbbeb9c79,CMPb0063c92,Ronald Reid,Smith and Sons,phillipsbrandon@example.org,327.505.4738x56957,Converted
LEADd944fa5d,CMPb0063c92,Sara Bryant,Green Inc,whahn@example.net,(249)851-9889x0137,Converted
LEADe30e733b,CMPb0063c92,Crystal Welch,Williams-Martinez,erica83@example.com,603-583-9718x7485,New
LEADa3d9aabe,CMPb0063c92,Jimmy Glover,Marshall-Schaefer,allencynthia@example.net,959-465-8818x84253,Contacted
LEAD734d3e2f,CMPb0063c92,Diana Thomas,Davis-Mata,smithcharles@example.org,(280)568-8407x318,Qualified
LEADbcc484d7,CMPb0063c92,James Martin,"Thomas, Wong and Reyes",colesandra@example.com,+1-550-724-2833x962,New
LEAD6f267436,CMPb0063c92,Julie Leach,Friedman Group,contrerasbetty@example.com,689.351.5075x482,Qualified
LEAD6ce5ba0f,CMPb0063c92,Nathan Davis,Rodriguez Ltd,henrywright@example.net,(844)607-0377x01285,Qualified
LEAD8bcf865c,CMPb0063c92,Jonathan Hampton,Torres-Moore,kimberly85@example.net,+1-323-470-7246x0986,New
LEADc479b323,CMPb0063c92,Anna Dodson,Valdez LLC,francesrubio@example.net,001-572-863-4683x0175,Converted
LEAD08a22c5e,CMPb0063c92,Andrew Rush,"Harris, Rivers and Watson",stephaniemelton@example.org,(756)973-8281x664,Converted
LEAD25078827,CMPb0063c92,Crystal Nelson,Richardson-Cain,christine14@example.org,406-685-9628,New
LEAD16182785,CMPb0063c92,Dana Alvarez,Miller-Young,ufarley@example.com,725.722.5268,Converted
LEADc9c6c174,CMPb0063c92,Jennifer Alexander,Vaughn Ltd,ohester@example.org,+1-500-474-3109x773,Converted
LEAD87ce0d1d,CMPb0063c92,Laura Lee,Erickson-Lyons,pricebrent@example.net,+1-987-363-1595x3938,Qualified
LEAD10418a5f,CMPb0063c92,Amy Hawkins,Boyd-Jordan,jdawson@example.org,994-772-8299x5486,Converted
LEAD64e690b4,CMPb0063c92,Sandra Strickland,"Waters, Sheppard and Velasquez",gbutler@example.com,+1-429-503-3238x785,Contacted
LEADf93d4feb,CMPb0063c92,Jennifer Spence,Morris-Forbes,mgreene@example.com,898-660-3075x452,Qualified
LEAD5de84108,CMPb0063c92,Christopher Mercado,Spears-Daugherty,owensjeremy@example.net,894-423-1631x6434,Converted
LEAD144281ab,CMPb0063c92,Jonathan Henderson,Martin-Medina,samuelfrench@example.net,+1-504-455-5134x54229,Converted
LEADe5bd92a4,CMPb0063c92,Sarah Roberts,"Porter, West and Williams",michaela51@example.org,+1-202-940-3890x102,New
LEAD91ff96d0,CMPb0063c92,Carrie Phillips,Ayers PLC,howellmichael@example.com,+1-310-354-4722x847,Converted
LEAD1299876a,CMPb0063c92,Dylan Taylor,Mclean-Turner,matthew02@example.org,001-660-540-6536,Qualified
LEAD1c114a35,CMPb0063c92,Richard Sanchez,Mcintosh-Smith,pruiz@example.com,+1-835-649-4642x1860,Contacted
LEAD8d426555,CMPb0063c92,Mary Orr,"Allen, Rivera and Bush",beth90@example.com,312.670.3838x275,Converted
LEAD5bf3acbf,CMPb0063c92,Veronica Wells,Duncan PLC,whitneymichelle@example.net,+1-887-328-5885,Contacted
LEAD378c67ea,CMPb0063c92,Wendy Gomez,Russell Ltd,warnerchristina@example.org,(662)589-6261,Contacted
LEAD18e7e885,CMPb0063c92,Daniel Bryant,Byrd-Williams,desireenelson@example.net,6585378315,Converted
LEAD20cfe194,CMPb0063c92,Brendan Gutierrez,"Anthony, Parker and Carter",harrelldebra@example.net,+1-508-991-6570x6462,New
LEADa4390a93,CMPb0063c92,Michael Levy,"Tran, Snyder and Dorsey",sean41@example.net,499.886.6546,New
LEAD3d445f6a,CMPb0063c92,Michael Sanchez,Stevenson-Gonzalez,martinandres@example.com,+1-523-386-3011,Qualified
